,dataset,algorithm,time_ms,instance
170,control,BT-F,2.73747,instancias/control/n_24-i_1.in
171,control,BT-O-G,619.061,instancias/control/n_24-i_1.in
172,control,BT-O-C,80.4986,instancias/control/n_24-i_1.in
173,control,DP,0.346936,instancias/control/n_24-i_1.in
174,control,FB,15681.6,instancias/control/n_29-i_0.in
175,control,BT,15.3913,instancias/control/n_29-i_0.in
176,control,BT-F,26.044,instancias/control/n_29-i_0.in
177,control,BT-O-G,23244.7,instancias/control/n_29-i_0.in
178,control,BT-O-C,3145.99,instancias/control/n_29-i_0.in
179,control,DP,0.500621,instancias/control/n_29-i_0.in
180,control,FB,986.473,instancias/control/n_25-i_1.in
181,control,BT,2.6629,instancias/control/n_25-i_1.in
182,control,BT-F,4.1743,instancias/control/n_25-i_1.in
183,control,BT-O-G,1523.21,instancias/control/n_25-i_1.in
184,control,BT-O-C,218.267,instancias/control/n_25-i_1.in
185,control,DP,0.294054,instancias/control/n_25-i_1.in
186,control,FB,16.999,instancias/control/n_19-i_2.in
187,control,BT,0.581573,instancias/control/n_19-i_2.in
188,control,BT-F,0.256366,instancias/control/n_19-i_2.in
189,control,BT-O-G,33.4645,instancias/control/n_19-i_2.in
190,control,BT-O-C,4.59875,instancias/control/n_19-i_2.in
191,control,DP,0.164391,instancias/control/n_19-i_2.in
192,control,FB,0.004967,instancias/control/n_6-i_1.in
193,control,BT,0.005654,instancias/control/n_6-i_1.in
194,control,BT-F,0.001956,instancias/control/n_6-i_1.in
195,control,BT-O-G,0.008254,instancias/control/n_6-i_1.in
196,control,BT-O-C,0.003001,instancias/control/n_6-i_1.in
197,control,DP,0.009609,instancias/control/n_6-i_1.in
198,control,FB,3931.19,instancias/control/n_27-i_0.in
199,control,BT,12.1415,instancias/control/n_27-i_0.in
200,control,BT-F,12.1915,instancias/control/n_27-i_0.in
201,control,BT-O-G,6875.02,instancias/control/n_27-i_0.in
202,control,BT-O-C,924.283,instancias/control/n_27-i_0.in
203,control,DP,0.329239,instancias/control/n_27-i_0.in
204,control,FB,2.25536,instancias/control/n_16-i_1.in
205,control,BT,0.179753,instancias/control/n_16-i_1.in
206,control,BT-F,0.04885,instancias/control/n_16-i_1.in
207,control,BT-O-G,4.43935,instancias/control/n_16-i_1.in
208,control,BT-O-C,0.529323,instancias/control/n_16-i_1.in
209,control,DP,0.124364,instancias/control/n_16-i_1.in
210,control,FB,0.560742,instancias/control/n_14-i_0.in
211,control,BT,0.107989,instancias/control/n_14-i_0.in
212,control,BT-F,0.019996,instancias/control/n_14-i_0.in
213,control,BT-O-G,1.06523,instancias/control/n_14-i_0.in
214,control,BT-O-C,0.149663,instancias/control/n_14-i_0.in
215,control,DP,0.039405,instancias/control/n_14-i_0.in
216,control,FB,0.045012,instancias/control/n_10-i_0.in
217,control,BT,0.015112,instancias/control/n_10-i_0.in
218,control,BT-F,0.004324,instancias/control/n_10-i_0.in
219,control,BT-O-G,0.059738,instancias/control/n_10-i_0.in
220,control,BT-O-C,0.012894,instancias/control/n_10-i_0.in
221,control,DP,0.043825,instancias/control/n_10-i_0.in
222,control,FB,7887.44,instancias/control/n_28-i_2.in
223,control,BT,22.7497,instancias/control/n_28-i_2.in
224,control,BT-F,17.2359,instancias/control/n_28-i_2.in
225,control,BT-O-G,15075.2,instancias/control/n_28-i_2.in
226,control,BT-O-C,1930.28,instancias/control/n_28-i_2.in
227,control,DP,0.539567,instancias/control/n_28-i_2.in
228,control,FB,128.97,instancias/control/n_22-i_2.in
229,control,BT,0.961328,instancias/control/n_22-i_2.in
230,control,BT-F,0.900036,instancias/control/n_22-i_2.in
231,control,BT-O-G,154.928,instancias/control/n_22-i_2.in
232,control,BT-O-C,19.9489,instancias/control/n_22-i_2.in
233,control,DP,0.274502,instancias/control/n_22-i_2.in
234,control,FB,33.0625,instancias/control/n_20-i_2.in
235,control,BT,0.488899,instancias/control/n_20-i_2.in
236,control,BT-F,0.305092,instancias/control/n_20-i_2.in
237,control,BT-O-G,45.9753,instancias/control/n_20-i_2.in
238,control,BT-O-C,5.87484,instancias/control/n_20-i_2.in
239,control,DP,0.127419,instancias/control/n_20-i_2.in
240,control,FB,0.157203,instancias/control/n_12-i_2.in
241,control,BT,0.036152,instancias/control/n_12-i_2.in
242,control,BT-F,0.008163,instancias/control/n_12-i_2.in
243,control,BT-O-G,0.266329,instancias/control/n_12-i_2.in
244,control,BT-O-C,0.034407,instancias/control/n_12-i_2.in
245,control,DP,0.076552,instancias/control/n_12-i_2.in
246,control,FB,0.003089,instancias/control/n_5-i_2.in
247,control,BT,0.004603,instancias/control/n_5-i_2.in
248,control,BT-F,0.002043,instancias/control/n_5-i_2.in
249,control,BT-O-G,0.005688,instancias/control/n_5-i_2.in
250,control,BT-O-C,0.002422,instancias/control/n_5-i_2.in
251,control,DP,0.00594,instancias/control/n_5-i_2.in
252,control,FB,0.182394,instancias/control/n_12-i_0.in
253,control,BT,0.037679,instancias/control/n_12-i_0.in
254,control,BT-F,0.008332,instancias/control/n_12-i_0.in
255,control,BT-O-G,0.286747,instancias/control/n_12-i_0.in
256,control,BT-O-C,0.037393,instancias/control/n_12-i_0.in
257,control,DP,0.077213,instancias/control/n_12-i_0.in
258,control,FB,2.2641,instancias/control/n_16-i_2.in
259,control,BT,0.271397,instancias/control/n_16-i_2.in
260,control,BT-F,0.058007,instancias/control/n_16-i_2.in
261,control,BT-O-G,5.9896,instancias/control/n_16-i_2.in
262,control,BT-O-C,1.01572,instancias/control/n_16-i_2.in
263,control,DP,0.204204,instancias/control/n_16-i_2.in
264,control,FB,494.859,instancias/control/n_24-i_2.in
265,control,BT,3.29073,instancias/control/n_24-i_2.in
266,control,BT-F,2.20667,instancias/control/n_24-i_2.in
267,control,BT-O-G,925.32,instancias/control/n_24-i_2.in
268,control,BT-O-C,134.104,instancias/control/n_24-i_2.in
269,control,DP,0.239341,instancias/control/n_24-i_2.in
270,control,FB,0.007897,instancias/control/n_7-i_0.in
271,control,BT,0.008056,instancias/control/n_7-i_0.in
272,control,BT-F,0.00227,instancias/control/n_7-i_0.in
273,control,BT-O-G,0.019242,instancias/control/n_7-i_0.in
274,control,BT-O-C,0.006378,instancias/control/n_7-i_0.in
275,control,DP,0.022769,instancias/control/n_7-i_0.in
276,control,FB,7870.64,instancias/control/n_28-i_1.in
277,control,BT,10.0767,instancias/control/n_28-i_1.in
278,control,BT-F,15.5202,instancias/control/n_28-i_1.in
279,control,BT-O-G,3089.92,instancias/control/n_28-i_1.in
280,control,BT-O-C,1188.68,instancias/control/n_28-i_1.in
281,control,DP,0.371327,instancias/control/n_28-i_1.in
282,control,FB,7866.89,instancias/control/n_28-i_0.in
283,control,BT,6.67704,instancias/control/n_28-i_0.in
284,control,BT-F,16.3091,instancias/control/n_28-i_0.in
285,control,BT-O-G,7629.13,instancias/control/n_28-i_0.in
286,control,BT-O-C,928.347,instancias/control/n_28-i_0.in
287,control,DP,0.353013,instancias/control/n_28-i_0.in
288,control,FB,64.9131,instancias/control/n_21-i_1.in
289,control,BT,0.928805,instancias/control/n_21-i_1.in
290,control,BT-F,0.557597,instancias/control/n_21-i_1.in
291,control,BT-O-G,85.9547,instancias/control/n_21-i_1.in
292,control,BT-O-C,11.3436,instancias/control/n_21-i_1.in
293,control,DP,0.323357,instancias/control/n_21-i_1.in
294,control,FB,8.39762,instancias/control/n_18-i_1.in
295,control,BT,0.462731,instancias/control/n_18-i_1.in
296,control,BT-F,0.125208,instancias/control/n_18-i_1.in
297,control,BT-O-G,19.8375,instancias/control/n_18-i_1.in
298,control,BT-O-C,2.38957,instancias/control/n_18-i_1.in
299,control,DP,0.193273,instancias/control/n_18-i_1.in
300,control,FB,1.14653,instancias/control/n_15-i_2.in
301,control,BT,0.120759,instancias/control/n_15-i_2.in
302,control,BT-F,0.035648,instancias/control/n_15-i_2.in
303,control,BT-O-G,2.10168,instancias/control/n_15-i_2.in
304,control,BT-O-C,0.353397,instancias/control/n_15-i_2.in
305,control,DP,0.137486,instancias/control/n_15-i_2.in
306,control,FB,0.00498,instancias/control/n_6-i_2.in
307,control,BT,0.005489,instancias/control/n_6-i_2.in
308,control,BT-F,0.002261,instancias/control/n_6-i_2.in
309,control,BT-O-G,0.010104,instancias/control/n_6-i_2.in
310,control,BT-O-C,0.003845,instancias/control/n_6-i_2.in
311,control,DP,0.009151,instancias/control/n_6-i_2.in
312,control,FB,985.724,instancias/control/n_25-i_2.in
313,control,BT,0.979592,instancias/control/n_25-i_2.in
314,control,BT-F,2.54618,instancias/control/n_25-i_2.in
315,control,BT-O-G,16.7483,instancias/control/n_25-i_2.in
316,control,BT-O-C,234.749,instancias/control/n_25-i_2.in
317,control,DP,0.149164,instancias/control/n_25-i_2.in
318,control,FB,1.99936,instancias/control/n_16-i_0.in
319,control,BT,0.100917,instancias/control/n_16-i_0.in
320,control,BT-F,0.020507,instancias/control/n_16-i_0.in
321,control,BT-O-G,0.55805,instancias/control/n_16-i_0.in
322,control,BT-O-C,0.688681,instancias/control/n_16-i_0.in
323,control,DP,0.023944,instancias/control/n_16-i_0.in
324,control,FB,0.003181,instancias/control/n_5-i_0.in
325,control,BT,0.005281,instancias/control/n_5-i_0.in
326,control,BT-F,0.002026,instancias/control/n_5-i_0.in
327,control,BT-O-G,0.005378,instancias/control/n_5-i_0.in
328,control,BT-O-C,0.002394,instancias/control/n_5-i_0.in
329,control,DP,0.012787,instancias/control/n_5-i_0.in
330,control,FB,17.6939,instancias/control/n_19-i_0.in
331,control,BT,0.232751,instancias/control/n_19-i_0.in
332,control,BT-F,0.197923,instancias/control/n_19-i_0.in
333,control,BT-O-G,3.79447,instancias/control/n_19-i_0.in
334,control,BT-O-C,3.32145,instancias/control/n_19-i_0.in
335,control,DP,0.074869,instancias/control/n_19-i_0.in
336,control,FB,4.40466,instancias/control/n_17-i_1.in
337,control,BT,0.388379,instancias/control/n_17-i_1.in
338,control,BT-F,0.114346,instancias/control/n_17-i_1.in
339,control,BT-O-G,9.69664,instancias/control/n_17-i_1.in
340,control,BT-O-C,1.23559,instancias/control/n_17-i_1.in
